Site,Layer,Unit,GridX,GridY,X (nm),Y (nm),EdgeDistance (nm),Area (nm2),MinorLength,MajorLength,Eccentricity ,RMSDeviation,RMSDeviationPercentage,ROI Deviation,StdSlope
1,12,0,9,1,-4.63E-07,2.16E-06,0,10685.1365,116.0090259,117.2731024,0.146429637,1.247005999,1.063335048,42.4891354,0.389721337
1,12,0,10,1,-3.06E-07,2.15E-06,0,10626.1614,112.2381204,120.5441519,0.364775443,0.759166763,0.629783155,41.9162913,0.315842248
1,12,0,11,1,-1.48E-07,2.15E-06,0,10793.5427,113.6594753,120.9117446,0.341118944,0.819272631,0.677579033,43.29105802,0.323523982
1,12,0,12,1,1.01E-08,2.15E-06,0,10564.6292,115.2129403,116.7516748,0.161819035,1.052395425,0.901396426,42.70580404,0.359071313
1,12,0,13,1,1.64E-07,2.15E-06,0,11162.3884,117.6202533,120.8328836,0.229058679,1.353946243,1.120511407,44.26423155,0.429492473
1,12,0,14,1,3.20E-07,2.15E-06,0,10885.9404,115.7012092,119.7948573,0.259184432,0.936730614,0.781945598,44.00225186,0.319993042
1,12,0,15,1,4.77E-07,2.15E-06,0,11223.5999,116.9555361,122.1860183,0.289452214,1.321533956,1.081575432,44.2924077,0.375669508
1,12,0,16,1,6.35E-07,2.15E-06,0,10649.2003,113.4760952,119.4875714,0.313192916,0.677093492,0.566664369,43.79099088,0.369628246
1,12,0,17,1,7.91E-07,2.15E-06,0,10716.9019,114.5123259,119.1590801,0.276535247,1.196881056,1.004439658,44.16391419,0.312954095
1,12,0,18,1,9.45E-07,2.15E-06,0,11179.1687,115.5692501,123.1621713,0.345686087,1.298020939,1.053912029,44.31478622,0.244886884
1,12,0,19,1,1.11E-06,2.15E-06,0,10696.0445,114.2595014,119.1903233,0.284652783,0.937566569,0.786612993,44.23241594,0.4288013
1,12,0,20,1,1.26E-06,2.14E-06,0,10659.3156,115.5309059,117.4738658,0.181122776,0.68562088,0.583636943,44.36803022,0.292674041
1,12,0,21,1,1.42E-06,2.14E-06,0,10550.1644,113.2309391,118.6326517,0.298316845,1.072581321,0.904119824,42.93973747,0.300626021
1,12,0,22,1,1.57E-06,2.14E-06,0,10742.8168,115.2742315,118.6577351,0.237100272,1.287939216,1.085423732,43.04866704,0.40267566
1,12,0,23,1,1.73E-06,2.14E-06,0,10671.8806,115.8519623,117.2864072,0.15591975,0.981196901,0.83658194,43.28217693,0.320018636
1,12,0,24,1,1.89E-06,2.14E-06,0,10593.4473,114.4593199,117.8409597,0.237844038,1.037924023,0.880783749,43.62601069,0.317428594
1,12,0,25,1,2.05E-06,2.14E-06,0,10394.8922,113.5128012,116.5964343,0.228461541,1.054210784,0.904153537,43.05043769,0.349510824
1,12,0,0,2,-1.95E-06,2.03E-06,0,10747.7168,116.6162001,117.3457727,0.111336988,0.70950637,0.604628828,46.05626554,0.44880372
1,12,0,1,2,-1.80E-06,2.03E-06,0,10959.6961,115.9269979,120.3716031,0.269229797,1.249827753,1.038307808,45.60689692,0.376882802
1,12,0,2,2,-1.64E-06,2.03E-06,0,11239.3709,118.9617541,120.2942212,0.148427676,0.977639838,0.812707234,45.86877086,0.319551396
1,12,0,3,2,-1.48E-06,2.03E-06,0,11199.6845,117.1379592,121.7357832,0.27223385,1.318513158,1.08309416,44.89861982,0.29346136
1,12,0,4,2,-1.33E-06,2.03E-06,0,11120.2448,118.471542,119.511701,0.131647502,0.989080285,0.827601211,44.98031935,0.318557051
1,12,0,5,2,-1.17E-06,2.03E-06,0,10954.6975,116.5071987,119.7175303,0.230027562,0.685893649,0.572926661,45.2298819,0.351573064
1,12,0,6,2,-1.01E-06,2.03E-06,0,10682.7305,112.3614295,121.0528827,0.372078694,0.567131599,0.468499045,45.89587717,0.38814872
1,12,0,7,2,-8.55E-07,2.03E-06,0,11022.5123,113.8394133,123.2815442,0.383814972,0.917154408,0.743951103,45.57468575,0.416225614
1,12,0,8,2,-6.98E-07,2.03E-06,0,11045.7095,114.2667063,123.0790202,0.371579425,1.146377206,0.931415609,46.62669912,0.431998754
1,12,0,9,2,-5.42E-07,2.02E-06,0,11091.6446,118.0901016,119.5893679,0.157849298,0.646885638,0.540922366,46.50451754,0.290754613
1,12,0,10,2,-3.84E-07,2.03E-06,0,11197.9399,118.4465861,120.3720637,0.178146646,0.799145008,0.663895744,47.31248832,0.32799944
1,12,0,11,2,-2.28E-07,2.02E-06,0,11482.0023,116.7814754,125.1854318,0.360218563,1.318020762,1.052854748,46.79397357,0.377065669
1,12,0,12,2,-7.13E-08,2.02E-06,0,11636.8385,118.7410444,124.7797936,0.307324581,1.508328764,1.208792482,46.99982002,0.277299082
1,12,0,13,2,8.46E-08,2.02E-06,0,11225.223,117.6628772,121.4690493,0.248368983,0.882709069,0.726694639,46.87113175,0.333842539
1,12,0,14,2,2.41E-07,2.02E-06,0,11052.8265,116.5890557,120.7051192,0.258915995,1.064619859,0.882000587,47.48215991,0.250462583
1,12,0,15,2,3.97E-07,2.02E-06,0,11207.0789,118.8666922,120.0445297,0.139739309,0.730803574,0.608777073,47.58946474,0.362577048
1,12,0,16,2,5.56E-07,2.02E-06,0,11616.1515,118.2492824,125.0759686,0.32585522,0.825435568,0.659947373,47.60267649,0.263484421
1,12,0,17,2,7.12E-07,2.02E-06,0,11767.3931,118.6900368,126.2339337,0.340515906,0.992837029,0.786505656,48.07936618,0.317654014
1,12,0,18,2,8.69E-07,2.02E-06,0,11472.8875,120.0721872,121.6579326,0.16093173,0.922207206,0.758032942,47.64089202,0.274113679
1,12,0,19,2,1.03E-06,2.02E-06,0,11431.3113,117.5553837,123.812259,0.313873483,0.473736069,0.382624526,47.43321246,0.34966895
1,12,0,20,2,1.18E-06,2.02E-06,0,11854.5811,119.7429143,126.0510616,0.312384895,0.699950212,0.555291009,47.93306508,0.256216531
1,12,0,21,2,1.34E-06,2.01E-06,0,11125.2089,118.8329659,119.2014006,0.078563116,0.595736444,0.499773023,46.80411554,0.300230784
1,12,0,22,2,1.50E-06,2.01E-06,0,10978.2119,115.5580005,120.9599816,0.295506409,0.449545464,0.371648092,46.62650783,0.302314091
1,12,0,23,2,1.65E-06,2.01E-06,0,11581.9083,119.8963875,122.9940624,0.223017527,1.160476866,0.943522673,47.19188733,0.38485114
1,12,0,24,2,1.81E-06,2.01E-06,0,11734.9456,119.5954803,124.932789,0.289167355,1.06888748,0.855570014,48.29211597,0.296514628
1,12,0,25,2,1.97E-06,2.01E-06,0,11225.7345,116.9597908,122.2048107,0.289823583,0.849475719,0.695124614,47.887019,0.339681511
1,12,0,0,3,-1.88E-06,1.91E-06,0,11621.2868,118.6002273,124.7609917,0.310358872,0.844271011,0.676710725,48.62565407,0.349487493
1,12,0,1,3,-1.72E-06,1.91E-06,0,11416.9389,119.9574758,121.1804267,0.141711394,0.437887521,0.361351691,48.19588868,0.346794757
1,12,0,2,3,-1.56E-06,1.90E-06,0,11609.4086,119.225052,123.9803043,0.274296742,0.582826904,0.470096365,47.73898417,0.388611473
1,12,0,3,3,-1.41E-06,1.90E-06,0,11520.9852,119.1374187,123.1265053,0.252481494,0.787392835,0.639499053,47.53884306,0.29209016
1,12,0,4,3,-1.25E-06,1.90E-06,0,11002.3662,114.5704088,122.2710813,0.349276579,0.937213995,0.766505036,48.21792122,0.328103131
1,12,0,5,3,-1.09E-06,1.90E-06,0,11151.8147,115.4839645,122.9515425,0.343195327,0.803332599,0.65337334,48.38463079,0.389533723
1,12,0,6,3,-9.35E-07,1.90E-06,0,11120.6866,118.094823,119.8977032,0.172764389,0.577487241,0.481649962,48.42130551,0.39091523
1,12,0,7,3,-7.77E-07,1.90E-06,0,11467.593,120.1603449,121.512575,0.14877093,1.148055171,0.94480359,47.65611907,0.320219267
1,12,0,8,3,-6.22E-07,1.90E-06,0,11649.5089,121.0607531,122.522082,0.153986608,0.973505922,0.794555484,47.52206697,0.233582931
1,12,0,9,3,-4.66E-07,1.90E-06,0,11685.3434,120.9774572,122.9835852,0.179883948,0.686777468,0.558430189,46.94695887,0.326254353
1,12,0,10,3,-3.09E-07,1.90E-06,0,11791.8579,119.4762386,125.663982,0.309929286,1.557273198,1.239235915,46.14062665,0.373115316
1,12,0,11,3,-1.53E-07,1.90E-06,0,11647.7486,119.0752358,124.5462506,0.293130548,0.997788325,0.80113879,45.23983823,0.393638438
1,12,0,12,3,3.87E-09,1.89E-06,0,11793.5276,119.3069207,125.8601407,0.318471243,0.50836101,0.403909456,44.87343513,0.322235488
1,12,0,13,3,1.61E-07,1.89E-06,0,11897.8658,122.6603896,123.5022438,0.116561377,0.926992637,0.750587688,43.71945397,0.374646184
1,12,0,14,3,3.21E-07,1.89E-06,0,11887.947,119.8257598,126.3184505,0.316475708,1.066845751,0.844568428,43.40003079,0.406598163
1,12,0,15,3,4.75E-07,1.89E-06,0,11768.7894,119.2983388,125.6051697,0.31289281,0.690272687,0.549557545,43.41872916,0.445205312
1,12,0,16,3,6.34E-07,1.89E-06,0,11843.5187,121.4293536,124.1844416,0.209472456,1.20030004,0.966546231,43.27339099,0.409374
1,12,0,17,3,7.88E-07,1.89E-06,0,12066.4459,122.143615,125.7820647,0.23878125,1.163756717,0.925216739,43.25635227,0.506793983
1,12,0,18,3,9.45E-07,1.89E-06,0,11419.5417,118.0462159,123.1705056,0.285439333,0.828425756,0.672584522,44.96607177,0.520688758
1,12,0,19,3,1.10E-06,1.89E-06,0,11432.0608,120.146838,121.1496883,0.12840185,0.812895417,0.670984324,44.17769053,0.441679797
1,12,0,20,3,1.26E-06,1.89E-06,0,11792.6762,119.9813586,125.1436216,0.284253048,0.744365905,0.594809304,44.2071639,0.288086107
1,12,0,21,3,1.42E-06,1.89E-06,0,11697.3448,119.8343716,124.2842253,0.265190089,1.315950345,1.058823307,43.8026497,0.377344365
1,12,0,22,3,1.57E-06,1.89E-06,0,11842.7331,119.7006308,125.9695628,0.31153539,1.145326887,0.909209226,44.94976885,0.415777478
1,12,0,23,3,1.73E-06,1.89E-06,0,11397.2515,116.8160032,124.2246868,0.34017923,0.689899426,0.55536419,44.46291567,0.370882468
1,12,0,24,3,1.89E-06,1.88E-06,0,11917.7531,120.8576579,125.5539354,0.270942487,1.197576609,0.953834386,46.1469902,0.464877247
