name of the site,location(x_y),area, areaX, perimeter, perimeterX, areaEnclosingCircle, areaFitEllipse, areaMinAreaRectangle, eccentricity, orientation, convexity, 0degDiam, 45degDiam, 90degDiam, 135degDiam
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 3002_1270,5.79E-16,7.11E-16,9.11E-08,1.08E-07,6.68E-16,2.35E-15,7.23E-16,0.965751181,101.4785995,0.972989564,5.90E-08,5.64E-08,5.81E-08,5.55E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 3186_1272,5.59E-16,6.89E-16,8.92E-08,1.04E-07,6.52E-16,2.31E-15,6.78E-16,0.961097984,115.9326248,0.980166347,6.07E-08,5.64E-08,5.81E-08,5.47E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 3374_1272,6.18E-16,7.54E-16,9.41E-08,1.11E-07,7.10E-16,2.51E-15,7.70E-16,0.916640295,94.68819427,0.973532796,5.90E-08,5.55E-08,5.81E-08,5.47E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 3652_1272,5.55E-16,6.85E-16,8.94E-08,1.06E-07,6.14E-16,2.26E-15,7.02E-16,0.979430818,104.656868,0.96875,5.73E-08,5.55E-08,5.81E-08,5.64E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 3744_1272,5.55E-16,6.86E-16,8.94E-08,1.06E-07,6.19E-16,2.25E-15,7.01E-16,0.940061766,101.3254547,0.973751601,5.81E-08,5.64E-08,5.81E-08,5.47E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 590_1274,5.98E-16,7.32E-16,9.26E-08,1.08E-07,6.81E-16,2.46E-15,7.23E-16,0.942217747,102.7119217,0.976162098,5.98E-08,5.55E-08,5.81E-08,5.47E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 1150_1274,5.88E-16,7.19E-16,9.04E-08,1.06E-07,6.80E-16,2.43E-15,7.01E-16,0.947097904,111.8465958,0.985321101,5.81E-08,5.38E-08,5.81E-08,5.55E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 2542_1272,5.47E-16,6.78E-16,8.94E-08,1.06E-07,6.31E-16,2.23E-15,7.01E-16,0.93571417,83.28712463,0.972114137,5.64E-08,5.64E-08,5.81E-08,5.64E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 3282_1274,5.47E-16,6.77E-16,8.94E-08,1.06E-07,6.15E-16,2.22E-15,7.01E-16,0.968586009,96.89569092,0.970817121,5.64E-08,5.30E-08,5.81E-08,5.64E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 3468_1274,5.73E-16,7.05E-16,9.11E-08,1.08E-07,6.53E-16,2.33E-15,7.23E-16,0.925294635,89.34996033,0.974534161,5.55E-08,5.30E-08,5.81E-08,5.64E-08
